segment_label,frame_number,angle_group,angle_value,categories,segment_total_frames
0:00:06.966667-0:00:09.833333,4,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,5,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,6,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,7,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,8,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,9,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,10,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,11,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,12,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,13,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,14,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,15,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,16,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,17,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,18,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,19,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,20,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,21,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,22,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,23,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,24,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,25,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,26,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,27,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,28,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,29,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,30,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,31,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,32,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,33,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,34,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,35,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,36,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,37,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,38,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,39,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,40,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,41,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,42,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,43,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,44,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,45,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,46,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,47,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,48,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,49,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,50,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,51,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,52,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,53,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,54,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,55,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,56,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,57,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,58,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,59,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,60,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,61,group1,0.0,original,87
0:00:06.966667-0:00:09.833333,62,group1,167.82318473779262,original,87
0:00:06.966667-0:00:09.833333,1,group2,36.981953393101904,original,87
0:00:06.966667-0:00:09.833333,2,group2,37.37986996886309,original,87
0:00:06.966667-0:00:09.833333,3,group2,37.48301607061404,original,87
0:00:06.966667-0:00:09.833333,4,group2,37.41283929198674,original,87
0:00:06.966667-0:00:09.833333,5,group2,37.85566436154077,original,87
0:00:06.966667-0:00:09.833333,6,group2,37.75546207132209,original,87
0:00:06.966667-0:00:09.833333,7,group2,38.138038042207434,original,87
0:00:06.966667-0:00:09.833333,8,group2,38.03312975165062,original,87
0:00:06.966667-0:00:09.833333,9,group2,37.911791441045345,original,87
0:00:06.966667-0:00:09.833333,10,group2,37.98075244600038,original,87
0:00:06.966667-0:00:09.833333,11,group2,37.81803001921399,original,87
0:00:06.966667-0:00:09.833333,12,group2,37.584314606194496,original,87
0:00:06.966667-0:00:09.833333,13,group2,37.1771533693917,original,87
0:00:06.966667-0:00:09.833333,14,group2,37.368627477489255,original,87
0:00:06.966667-0:00:09.833333,15,group2,36.636718066409024,original,87
0:00:06.966667-0:00:09.833333,16,group2,36.41955903193764,original,87
0:00:06.966667-0:00:09.833333,17,group2,35.525599967704274,original,87
0:00:06.966667-0:00:09.833333,18,group2,35.7139595095403,original,87
0:00:06.966667-0:00:09.833333,19,group2,35.36109144644993,original,87
0:00:06.966667-0:00:09.833333,20,group2,35.39103158067668,original,87
0:00:06.966667-0:00:09.833333,21,group2,35.00136928852746,original,87
0:00:06.966667-0:00:09.833333,22,group2,35.12953778830275,original,87
0:00:06.966667-0:00:09.833333,23,group2,34.97583804140995,original,87
0:00:06.966667-0:00:09.833333,24,group2,34.899247715152015,original,87
0:00:06.966667-0:00:09.833333,25,group2,35.15746301672434,original,87
0:00:06.966667-0:00:09.833333,26,group2,35.07847529406773,original,87
0:00:06.966667-0:00:09.833333,27,group2,34.950552681102565,original,87
